Time	SWR_O0
19.10.2018 19:26:45	-2.489
19.10.2018 19:27:00	-2.489
19.10.2018 19:27:15	-2.489
19.10.2018 19:27:30	-2.489
19.10.2018 19:27:45	-2.489
19.10.2018 19:28:00	-2.531
19.10.2018 19:28:15	-2.573
19.10.2018 19:28:30	-2.573
19.10.2018 19:28:45	-2.697
19.10.2018 19:29:00	-2.697
19.10.2018 19:29:15	-2.683
19.10.2018 19:29:30	-2.697
19.10.2018 19:29:45	-2.849
19.10.2018 19:30:00	-2.904
19.10.2018 19:30:15	-2.988
19.10.2018 19:30:30	-3.112
19.10.2018 19:30:45	-3.084
19.10.2018 19:31:00	-3.112
19.10.2018 19:31:15	-3.098
19.10.2018 19:31:30	-3.112
19.10.2018 19:31:45	-3.112
19.10.2018 19:32:00	-3.167
19.10.2018 19:32:15	-3.264
19.10.2018 19:32:30	-3.112
19.10.2018 19:32:45	-3.112
19.10.2018 19:33:00	-2.904
19.10.2018 19:33:15	-2.904
19.10.2018 19:33:30	-2.904
19.10.2018 19:33:45	-2.904
19.10.2018 19:34:00	-2.904
19.10.2018 19:34:15	-3.015
19.10.2018 19:34:30	-3.112
19.10.2018 19:34:45	-2.918
19.10.2018 19:35:00	-2.918
19.10.2018 19:35:15	-2.904
19.10.2018 19:35:30	-2.904
19.10.2018 19:35:45	-2.904
19.10.2018 19:36:00	-2.904
19.10.2018 19:36:15	-2.904
19.10.2018 19:36:30	-2.904
19.10.2018 19:36:45	-2.904
19.10.2018 19:37:00	-2.904
19.10.2018 19:37:15	-2.904
19.10.2018 19:37:30	-2.904
19.10.2018 19:37:45	-2.904
19.10.2018 19:38:00	-2.904
19.10.2018 19:38:15	-2.904
19.10.2018 19:38:30	-2.904
19.10.2018 19:38:45	-2.904
19.10.2018 19:39:00	-2.904
19.10.2018 19:39:15	-2.849
19.10.2018 19:39:30	-2.725
19.10.2018 19:39:45	-2.697
19.10.2018 19:40:00	-2.752
19.10.2018 19:40:15	-2.904
19.10.2018 19:40:30	-2.904
19.10.2018 19:40:45	-2.904
19.10.2018 19:41:00	-2.904
19.10.2018 19:41:15	-2.904
19.10.2018 19:41:30	-2.904
19.10.2018 19:41:45	-2.904
19.10.2018 19:42:00	-2.904
19.10.2018 19:42:15	-2.904
19.10.2018 19:42:30	-2.973
19.10.2018 19:42:45	-3.057
19.10.2018 19:43:00	-3.112
19.10.2018 19:43:15	-3.112
19.10.2018 19:43:30	-3.112
19.10.2018 19:43:45	-3.043
19.10.2018 19:44:00	-2.904
19.10.2018 19:44:15	-2.988
19.10.2018 19:44:30	-3.098
19.10.2018 19:44:45	-3.112
19.10.2018 19:45:00	-3.057
19.10.2018 19:45:15	-2.904
19.10.2018 19:45:30	-2.904
19.10.2018 19:45:45	-2.904
19.10.2018 19:46:00	-2.904
19.10.2018 19:46:15	-2.918
19.10.2018 19:46:30	-2.904
19.10.2018 19:46:45	-3.043
19.10.2018 19:47:00	-2.946
19.10.2018 19:47:15	-2.904
19.10.2018 19:47:30	-2.904
19.10.2018 19:47:45	-2.904
19.10.2018 19:48:00	-2.904
19.10.2018 19:48:15	-2.904
19.10.2018 19:48:30	-2.904
19.10.2018 19:48:45	-2.904
19.10.2018 19:49:00	-2.904
19.10.2018 19:49:15	-2.904
19.10.2018 19:49:30	-2.904
19.10.2018 19:49:45	-2.794
19.10.2018 19:50:00	-2.697
19.10.2018 19:50:15	-2.697
19.10.2018 19:50:30	-2.614
19.10.2018 19:50:45	-2.489
19.10.2018 19:51:00	-2.407
19.10.2018 19:51:15	-2.489
19.10.2018 19:51:30	-2.365
19.10.2018 19:51:45	-2.283
19.10.2018 19:52:00	-2.283
19.10.2018 19:52:15	-2.283
19.10.2018 19:52:30	-2.283
19.10.2018 19:52:45	-2.283
19.10.2018 19:53:00	-2.283
19.10.2018 19:53:15	-2.283
19.10.2018 19:53:30	-2.393
19.10.2018 19:53:45	-2.489
19.10.2018 19:54:00	-2.489
19.10.2018 19:54:15	-2.379
19.10.2018 19:54:30	-2.283
19.10.2018 19:54:45	-2.283
19.10.2018 19:55:00	-2.089
19.10.2018 19:55:15	-2.075
19.10.2018 19:55:30	-1.895
19.10.2018 19:55:45	-1.867
19.10.2018 19:56:00	-1.992
19.10.2018 19:56:15	-2.047
19.10.2018 19:56:30	-2.158
19.10.2018 19:56:45	-2.296
19.10.2018 19:57:00	-2.615
19.10.2018 19:57:15	-2.836
19.10.2018 19:57:30	-2.905
19.10.2018 19:57:45	-3.029
19.10.2018 19:58:00	-3.112
19.10.2018 19:58:15	-3.112
19.10.2018 19:58:30	-3.057
19.10.2018 19:58:45	-2.905
19.10.2018 19:59:00	-2.905
19.10.2018 19:59:15	-2.905
19.10.2018 19:59:30	-2.974
19.10.2018 19:59:45	-2.905
19.10.2018 20:00:00	-2.905
19.10.2018 20:00:15	-2.905
19.10.2018 20:00:30	-2.905
19.10.2018 20:00:45	-2.905
19.10.2018 20:01:00	-2.905
19.10.2018 20:01:15	-2.905
19.10.2018 20:01:30	-2.905
19.10.2018 20:01:45	-2.905
19.10.2018 20:02:00	-3.071
19.10.2018 20:02:15	-3.112
19.10.2018 20:02:30	-3.015
19.10.2018 20:02:45	-2.905
19.10.2018 20:03:00	-2.905
19.10.2018 20:03:15	-3.057
19.10.2018 20:03:30	-2.933
19.10.2018 20:03:45	-2.905
19.10.2018 20:04:00	-2.905
19.10.2018 20:04:15	-2.905
19.10.2018 20:04:30	-2.905
19.10.2018 20:04:45	-2.905
19.10.2018 20:05:00	-2.905
19.10.2018 20:05:15	-2.905
19.10.2018 20:05:30	-2.905
19.10.2018 20:05:45	-2.836
19.10.2018 20:06:00	-2.712
19.10.2018 20:06:15	-2.712
19.10.2018 20:06:30	-2.863
19.10.2018 20:06:45	-2.905
19.10.2018 20:07:00	-2.905
19.10.2018 20:07:15	-2.905
19.10.2018 20:07:30	-2.905
19.10.2018 20:07:45	-2.905
19.10.2018 20:08:00	-2.905
19.10.2018 20:08:15	-2.905
19.10.2018 20:08:30	-2.905
19.10.2018 20:08:45	-2.712
19.10.2018 20:09:00	-2.697
19.10.2018 20:09:15	-2.753
19.10.2018 20:09:30	-2.725
19.10.2018 20:09:45	-2.850
19.10.2018 20:10:00	-2.905
19.10.2018 20:10:15	-2.905
19.10.2018 20:10:30	-2.905
19.10.2018 20:10:45	-2.905
19.10.2018 20:11:00	-2.905
19.10.2018 20:11:15	-2.905
19.10.2018 20:11:30	-2.905
19.10.2018 20:11:45	-2.905
19.10.2018 20:12:00	-2.905
19.10.2018 20:12:15	-2.905
19.10.2018 20:12:30	-2.905
19.10.2018 20:12:45	-2.905
19.10.2018 20:13:00	-2.905
19.10.2018 20:13:15	-2.905
19.10.2018 20:13:30	-2.905
19.10.2018 20:13:45	-2.905
19.10.2018 20:14:00	-2.905
19.10.2018 20:14:15	-2.905
19.10.2018 20:14:30	-2.905
19.10.2018 20:14:45	-2.905
19.10.2018 20:15:00	-2.905
19.10.2018 20:15:15	-2.905
19.10.2018 20:15:30	-3.086
19.10.2018 20:15:45	-3.113
19.10.2018 20:16:00	-3.113
19.10.2018 20:16:15	-3.113
19.10.2018 20:16:30	-3.086
19.10.2018 20:16:45	-2.905
19.10.2018 20:17:00	-2.905
19.10.2018 20:17:15	-2.905
19.10.2018 20:17:30	-2.905
19.10.2018 20:17:45	-2.905
19.10.2018 20:18:00	-2.905
19.10.2018 20:18:15	-2.905
19.10.2018 20:18:30	-2.905
19.10.2018 20:18:45	-2.919
19.10.2018 20:19:00	-2.989
19.10.2018 20:19:15	-2.905
19.10.2018 20:19:30	-2.905
19.10.2018 20:19:45	-3.044
19.10.2018 20:20:00	-3.113
19.10.2018 20:20:15	-3.113
19.10.2018 20:20:30	-3.113
19.10.2018 20:20:45	-2.961
19.10.2018 20:21:00	-2.905
19.10.2018 20:21:15	-2.905
19.10.2018 20:21:30	-3.044
19.10.2018 20:21:45	-3.071
19.10.2018 20:22:00	-2.947
19.10.2018 20:22:15	-3.071
19.10.2018 20:22:30	-3.113
19.10.2018 20:22:45	-3.016
19.10.2018 20:23:00	-2.905
19.10.2018 20:23:15	-2.961
19.10.2018 20:23:30	-3.071
19.10.2018 20:23:45	-2.905
19.10.2018 20:24:00	-2.905
19.10.2018 20:24:15	-2.905
19.10.2018 20:24:30	-2.905
19.10.2018 20:24:45	-2.905
19.10.2018 20:25:00	-2.905
19.10.2018 20:25:15	-2.905
19.10.2018 20:25:30	-2.905
19.10.2018 20:25:45	-2.905
19.10.2018 20:26:00	-2.905
19.10.2018 20:26:15	-2.905
19.10.2018 20:26:30	-2.919
19.10.2018 20:26:45	-2.905
19.10.2018 20:27:00	-2.905
19.10.2018 20:27:15	-2.905
19.10.2018 20:27:30	-2.905
19.10.2018 20:27:45	-2.905
19.10.2018 20:28:00	-2.905
19.10.2018 20:28:15	-2.905
19.10.2018 20:28:30	-2.905
19.10.2018 20:28:45	-2.905
19.10.2018 20:29:00	-2.905
19.10.2018 20:29:15	-2.739
19.10.2018 20:29:30	-2.864
19.10.2018 20:29:45	-2.905
19.10.2018 20:30:00	-2.905
19.10.2018 20:30:15	-2.974
19.10.2018 20:30:30	-3.182
19.10.2018 20:30:45	-3.321
19.10.2018 20:31:00	-3.473
19.10.2018 20:31:15	-3.570
19.10.2018 20:31:30	-3.666
19.10.2018 20:31:45	-3.445
19.10.2018 20:32:00	-3.321
19.10.2018 20:32:15	-3.127
19.10.2018 20:32:30	-3.031
19.10.2018 20:32:45	-2.905
19.10.2018 20:33:00	-2.905
19.10.2018 20:33:15	-2.781
19.10.2018 20:33:30	-2.545
19.10.2018 20:33:45	-2.490
19.10.2018 20:34:00	-2.490
19.10.2018 20:34:15	-2.490
19.10.2018 20:34:30	-2.490
19.10.2018 20:34:45	-2.615
19.10.2018 20:35:00	-2.505
