Time	SWR_F5
19.10.2018 20:58:15	-2.093
19.10.2018 20:58:30	-2.268
19.10.2018 20:58:45	-2.093
19.10.2018 20:59:00	-2.093
19.10.2018 20:59:15	-2.093
19.10.2018 20:59:30	-2.093
19.10.2018 20:59:45	-2.268
19.10.2018 21:00:00	-2.268
19.10.2018 21:00:15	-2.268
19.10.2018 21:00:30	-2.268
19.10.2018 21:00:45	-2.268
19.10.2018 21:01:00	-2.268
19.10.2018 21:01:15	-2.268
19.10.2018 21:01:30	-2.268
19.10.2018 21:01:45	-2.268
19.10.2018 21:02:00	-2.268
19.10.2018 21:02:15	-2.268
19.10.2018 21:02:30	-2.268
19.10.2018 21:02:45	-2.268
19.10.2018 21:03:00	-2.268
19.10.2018 21:03:15	-2.268
19.10.2018 21:03:30	-2.268
19.10.2018 21:03:45	-2.268
19.10.2018 21:04:00	-2.442
19.10.2018 21:04:15	-2.268
19.10.2018 21:04:30	-2.268
19.10.2018 21:04:45	-2.268
19.10.2018 21:05:00	-2.268
19.10.2018 21:05:15	-2.268
19.10.2018 21:05:30	-2.268
19.10.2018 21:05:45	-2.268
19.10.2018 21:06:00	-2.268
19.10.2018 21:06:15	-2.268
19.10.2018 21:06:30	-2.268
19.10.2018 21:06:45	-2.268
19.10.2018 21:07:00	-2.268
19.10.2018 21:07:15	-2.268
19.10.2018 21:07:30	-2.268
19.10.2018 21:07:45	-2.442
19.10.2018 21:08:00	-2.442
19.10.2018 21:08:15	-2.617
19.10.2018 21:08:30	-2.617
19.10.2018 21:08:45	-2.617
19.10.2018 21:09:00	-2.617
19.10.2018 21:09:15	-2.268
19.10.2018 21:09:30	-2.442
19.10.2018 21:09:45	-2.617
19.10.2018 21:10:00	-2.617
19.10.2018 21:10:15	-2.617
19.10.2018 21:10:30	-2.617
19.10.2018 21:10:45	-2.617
19.10.2018 21:11:00	-2.617
19.10.2018 21:11:15	-2.617
19.10.2018 21:11:30	-2.617
19.10.2018 21:11:45	-2.617
19.10.2018 21:12:00	-2.791
19.10.2018 21:12:15	-2.617
19.10.2018 21:12:30	-2.617
19.10.2018 21:12:45	-2.617
19.10.2018 21:13:00	-2.617
19.10.2018 21:13:15	-2.617
